color	label	type
saddlebrown	Africa	region
red	America	region
dodgerblue	Europe	region
#565656	Oceania	region
magenta3	CentralAsia	region
green4	EastAsia	region
royalblue	NorthAsia	region
firebrick	SouthAsia	region
yellow2	SoutheastAsia	region
lightslategrey	WestAsia	region
greenyellow 	Asia	region
white	NA	region
#36648B	WestEurasia	AncestralComponent
#00E2E5	NativeNorthRussia	AncestralComponent
#1F78C8	PaleoSiberian	AncestralComponent
#a6cee3	KalmykNivkhKhakass	AncestralComponent
#ff0000	Dravidian	AncestralComponent
#33a02c	HanChinese	AncestralComponent
#ff7f00	TibetoBurman	AncestralComponent
#FFD700	AustroAsiatic	AncestralComponent
#6A33C2	OrangAsli	AncestralComponent
#C814FA	SenoiOrangAsli	AncestralComponent
#b2df8a	Austronesian	AncestralComponent
#778B00	NativeAndaman	AncestralComponent
#565656	Oceania	AncestralComponent
#FB6496	Cluster13	AncestralComponent
#CAB2D6	Cluster15	AncestralComponent
